10010001 000 00011 11111 11111 011110	96	ADDI	R30, R30, #255
10010001 000 00000 00101 00000 100001	100	ADDI	R1, R1, #10
10010001 000 00001 10010 00010 100101	104	ADDI	R5, R5, #100
11111110 110 11110 11111 11111 100111	108	BREAK
00000000000000000000000000000001	112	1
00000000000000000000000000010001	116	17
00000000000000000000001000000001	120	513
00000000000000000000000000000001	124	1
00000000000000000000000000010001	128	17
00000000000000000000001000000001	132	513
00000000000000000000000000000001	136	1
00000000000000000000000000010001	140	17
00000000000000000000001000000001	144	513
00000000000000000000000000000001	148	1
00000000000000000000000000010001	152	17
00000000000000000000001000000001	156	513
00000000000000000000000000000001	160	1
00000000000000000000000000010001	164	17
00000000000000000000001000000001	168	513
